country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff
India-Sri Lanka,SST,gpt-4,1.5,15,14,1
U.S.A.-France,SST,gpt-4,1.5,12,16,-4
U.S.S.R.-Cuba,SST,gpt-4,1.5,8,12,-4
England-Jordan,SST,gpt-4,1.5,5,10,-5
France-Israel,SST,gpt-4,1.5,12,12,0
U.S.A.-Germany,SST,gpt-4,1.5,12,15,-3
U.S.S.R.-Syria,SST,gpt-4,1.5,5,7,-2
France-Algeria,SST,gpt-4,1.5,7,8,-1
U.S.A.-Mexico,SSA,gpt-4,0.001,10,12,-2
U.S.S.R.-Poland,SSA,gpt-4,0.001,5,5,0
China-Albania,SSA,gpt-4,0.001,5,5,0
U.S.A.-Israel,SSA,gpt-4,0.001,12,13,-1
Japan-Philippines,SSA,gpt-4,0.001,10,12,-2
U.S.A.-Canada,SSA,gpt-4,0.001,15,15,0
U.S.S.R.-Israel,SSA,gpt-4,0.001,5,3,2
England-Ireland,SSA,gpt-4,0.001,15,15,0
Germany-Austria,SSA,gpt-4,0.001,15,15,0
U.S.S.R.-France,SSA,gpt-4,0.001,5,5,0
Belgium-Luxembourg,SSA,gpt-4,0.001,18,15,3
U.S.A.-U.S.S.R.,SSA,gpt-4,0.001,5,5,0
China-North Korea,SSA,gpt-4,0.001,7,7,0
India-Sri Lanka,SSA,gpt-4,0.001,12,12,0
U.S.A.-France,SSA,gpt-4,0.001,12,15,-3
U.S.S.R.-Cuba,SSA,gpt-4,0.001,12,5,7
England-Jordan,SSA,gpt-4,0.001,5,5,0
France-Israel,SSA,gpt-4,0.001,12,12,0
U.S.A.-Germany,SSA,gpt-4,0.001,15,15,0
U.S.S.R.-Syria,SSA,gpt-4,0.001,3,3,0
France-Algeria,SSA,gpt-4,0.001,7,7,0
U.S.A.-Mexico,SSA,gpt-4,0.5,10,15,-5
U.S.S.R.-Poland,SSA,gpt-4,0.5,5,5,0
China-Albania,SSA,gpt-4,0.5,5,5,0
U.S.A.-Israel,SSA,gpt-4,0.5,10,12,-2
Japan-Philippines,SSA,gpt-4,0.5,10,12,-2
U.S.A.-Canada,SSA,gpt-4,0.5,15,15,0
U.S.S.R.-Israel,SSA,gpt-4,0.5,5,3,2
England-Ireland,SSA,gpt-4,0.5,15,15,0
Germany-Austria,SSA,gpt-4,0.5,16,15,1
U.S.S.R.-France,SSA,gpt-4,0.5,6,5,1
Belgium-Luxembourg,SSA,gpt-4,0.5,18,15,3
U.S.A.-U.S.S.R.,SSA,gpt-4,0.5,4,5,-1
China-North Korea,SSA,gpt-4,0.5,7,7,0
India-Sri Lanka,SSA,gpt-4,0.5,12,10,2
U.S.A.-France,SSA,gpt-4,0.5,12,15,-3
U.S.S.R.-Cuba,SSA,gpt-4,0.5,12,3,9
England-Jordan,SSA,gpt-4,0.5,5,7,-2
France-Israel,SSA,gpt-4,0.5,10,10,0
U.S.A.-Germany,SSA,gpt-4,0.5,15,15,0
U.S.S.R.-Syria,SSA,gpt-4,0.5,5,2,3
France-Algeria,SSA,gpt-4,0.5,7,7,0
U.S.A.-Mexico,SSA,gpt-4,1.0,10,14,-4
U.S.S.R.-Poland,SSA,gpt-4,1.0,8,7,1
China-Albania,SSA,gpt-4,1.0,4,4,0
U.S.A.-Israel,SSA,gpt-4,1.0,10,13,-3
Japan-Philippines,SSA,gpt-4,1.0,11,11,0
U.S.A.-Canada,SSA,gpt-4,1.0,15,16,-1
U.S.S.R.-Israel,SSA,gpt-4,1.0,4,3,1
England-Ireland,SSA,gpt-4,1.0,12,16,-4
Germany-Austria,SSA,gpt-4,1.0,14,15,-1
U.S.S.R.-France,SSA,gpt-4,1.0,10,7,3
Belgium-Luxembourg,SSA,gpt-4,1.0,18,16,2
U.S.A.-U.S.S.R.,SSA,gpt-4,1.0,4,3,1
China-North Korea,SSA,gpt-4,1.0,4,5,-1
India-Sri Lanka,SSA,gpt-4,1.0,8,15,-7
U.S.A.-France,SSA,gpt-4,1.0,14,15,-1
U.S.S.R.-Cuba,SSA,gpt-4,1.0,10,7,3
England-Jordan,SSA,gpt-4,1.0,5,8,-3
France-Israel,SSA,gpt-4,1.0,10,12,-2
U.S.A.-Germany,SSA,gpt-4,1.0,14,13,1
U.S.S.R.-Syria,SSA,gpt-4,1.0,6,4,2
France-Algeria,SSA,gpt-4,1.0,8,7,1
U.S.A.-Mexico,SSA,gpt-4,1.5,12,13,-1
U.S.S.R.-Poland,SSA,gpt-4,1.5,5,6,-1
China-Albania,SSA,gpt-4,1.5,4,3,1
U.S.A.-Israel,SSA,gpt-4,1.5,,14,
Japan-Philippines,SSA,gpt-4,1.5,7,13,-6
U.S.A.-Canada,SSA,gpt-4,1.5,16,15,1
U.S.S.R.-Israel,SSA,gpt-4,1.5,4,5,-1
England-Ireland,SSA,gpt-4,1.5,12,12,0
Germany-Austria,SSA,gpt-4,1.5,15,15,0
U.S.S.R.-France,SSA,gpt-4,1.5,8,8,0
Belgium-Luxembourg,SSA,gpt-4,1.5,14,17,-3
U.S.A.-U.S.S.R.,SSA,gpt-4,1.5,4,5,-1
China-North Korea,SSA,gpt-4,1.5,4,5,-1
India-Sri Lanka,SSA,gpt-4,1.5,14,15,-1
U.S.A.-France,SSA,gpt-4,1.5,13,14,-1
U.S.S.R.-Cuba,SSA,gpt-4,1.5,14,6,8
England-Jordan,SSA,gpt-4,1.5,3,11,-8
France-Israel,SSA,gpt-4,1.5,12,8,4
U.S.A.-Germany,SSA,gpt-4,1.5,15,15,0
U.S.S.R.-Syria,SSA,gpt-4,1.5,5,4,1
France-Algeria,SSA,gpt-4,1.5,7,5,2
