,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff
254,China-Albania,Dual_Similar_To (DST),llama2_13B,-3.0,China-Albania,Single_Similar_To (SST),llama2_13B,0.0,China-Albania,Single_Similar_And (SSA),llama2_13B,0.0,China-Albania,Dual_Similar_And (DSA),llama2_13B,5.0,China-Albania,Single_Similar_Degree (SSD),llama2_13B,0,China-Albania,Dual_Similar_Degree (DSD),llama2_13B,-3.0
255,U.S.A.-Israel,Dual_Similar_To (DST),llama2_13B,5.0,U.S.A.-Israel,Single_Similar_To (SST),llama2_13B,0.0,U.S.A.-Israel,Single_Similar_And (SSA),llama2_13B,0.0,U.S.A.-Israel,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.A.-Israel,Single_Similar_Degree (SSD),llama2_13B,0,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_13B,3.0
256,Japan-Philippines,Dual_Similar_To (DST),llama2_13B,5.0,Japan-Philippines,Single_Similar_To (SST),llama2_13B,7.0,Japan-Philippines,Single_Similar_And (SSA),llama2_13B,0.0,Japan-Philippines,Dual_Similar_And (DSA),llama2_13B,-3.0,Japan-Philippines,Single_Similar_Degree (SSD),llama2_13B,0,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_13B,2.0
257,U.S.A.-Canada,Dual_Similar_To (DST),llama2_13B,3.0,U.S.A.-Canada,Single_Similar_To (SST),llama2_13B,0.0,U.S.A.-Canada,Single_Similar_And (SSA),llama2_13B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.A.-Canada,Single_Similar_Degree (SSD),llama2_13B,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_13B,3.0
258,U.S.S.R.-Israel,Dual_Similar_To (DST),llama2_13B,-3.0,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_13B,0.0,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_13B,0.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama2_13B,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_13B,-3.0
259,England-Ireland,Dual_Similar_To (DST),llama2_13B,5.0,England-Ireland,Single_Similar_To (SST),llama2_13B,0.0,England-Ireland,Single_Similar_And (SSA),llama2_13B,0.0,England-Ireland,Dual_Similar_And (DSA),llama2_13B,-1.0,England-Ireland,Single_Similar_Degree (SSD),llama2_13B,0,England-Ireland,Dual_Similar_Degree (DSD),llama2_13B,3.0
260,Germany-Austria,Dual_Similar_To (DST),llama2_13B,-3.0,Germany-Austria,Single_Similar_To (SST),llama2_13B,0.0,Germany-Austria,Single_Similar_And (SSA),llama2_13B,0.0,Germany-Austria,Dual_Similar_And (DSA),llama2_13B,-3.0,Germany-Austria,Single_Similar_Degree (SSD),llama2_13B,0,Germany-Austria,Dual_Similar_Degree (DSD),llama2_13B,-3.0
261,U.S.S.R.-France,Dual_Similar_To (DST),llama2_13B,-3.0,U.S.S.R.-France,Single_Similar_To (SST),llama2_13B,0.0,U.S.S.R.-France,Single_Similar_And (SSA),llama2_13B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),llama2_13B,-4.0,U.S.S.R.-France,Single_Similar_Degree (SSD),llama2_13B,0,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_13B,-3.0
262,Belgium-Luxembourg,Dual_Similar_To (DST),llama2_13B,-3.0,Belgium-Luxembourg,Single_Similar_To (SST),llama2_13B,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_13B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),llama2_13B,-3.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),llama2_13B,0,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_13B,3.0
263,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),llama2_13B,-3.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_13B,0.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_13B,5.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),llama2_13B,2.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama2_13B,0,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_13B,4.0
264,China-North Korea,Dual_Similar_To (DST),llama2_13B,-3.0,China-North Korea,Single_Similar_To (SST),llama2_13B,-7.0,China-North Korea,Single_Similar_And (SSA),llama2_13B,-2.0,China-North Korea,Dual_Similar_And (DSA),llama2_13B,-3.0,China-North Korea,Single_Similar_Degree (SSD),llama2_13B,-10,China-North Korea,Dual_Similar_Degree (DSD),llama2_13B,-3.0
265,India-Sri Lanka,Dual_Similar_To (DST),llama2_13B,5.0,India-Sri Lanka,Single_Similar_To (SST),llama2_13B,0.0,India-Sri Lanka,Single_Similar_And (SSA),llama2_13B,0.0,India-Sri Lanka,Dual_Similar_And (DSA),llama2_13B,-3.0,India-Sri Lanka,Single_Similar_Degree (SSD),llama2_13B,-3,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_13B,3.0
266,U.S.A.-France,Dual_Similar_To (DST),llama2_13B,2.0,U.S.A.-France,Single_Similar_To (SST),llama2_13B,-2.0,U.S.A.-France,Single_Similar_And (SSA),llama2_13B,-1.0,U.S.A.-France,Dual_Similar_And (DSA),llama2_13B,5.0,U.S.A.-France,Single_Similar_Degree (SSD),llama2_13B,0,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_13B,2.0
267,U.S.S.R.-Cuba,Dual_Similar_To (DST),llama2_13B,7.0,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_13B,3.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_13B,0.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama2_13B,3,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_13B,5.0
268,England-Jordan,Dual_Similar_To (DST),llama2_13B,4.0,England-Jordan,Single_Similar_To (SST),llama2_13B,0.0,England-Jordan,Single_Similar_And (SSA),llama2_13B,0.0,England-Jordan,Dual_Similar_And (DSA),llama2_13B,5.0,England-Jordan,Single_Similar_Degree (SSD),llama2_13B,-2,England-Jordan,Dual_Similar_Degree (DSD),llama2_13B,2.0
269,France-Israel,Dual_Similar_To (DST),llama2_13B,-3.0,France-Israel,Single_Similar_To (SST),llama2_13B,-7.0,France-Israel,Single_Similar_And (SSA),llama2_13B,0.0,France-Israel,Dual_Similar_And (DSA),llama2_13B,0.0,France-Israel,Single_Similar_Degree (SSD),llama2_13B,0,France-Israel,Dual_Similar_Degree (DSD),llama2_13B,2.0
270,U.S.A.-Germany,Dual_Similar_To (DST),llama2_13B,3.0,U.S.A.-Germany,Single_Similar_To (SST),llama2_13B,0.0,U.S.A.-Germany,Single_Similar_And (SSA),llama2_13B,0.0,U.S.A.-Germany,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.A.-Germany,Single_Similar_Degree (SSD),llama2_13B,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_13B,3.0
271,U.S.S.R.-Syria,Dual_Similar_To (DST),llama2_13B,-3.0,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_13B,3.0,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_13B,0.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama2_13B,1,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_13B,-3.0
272,France-Algeria,Dual_Similar_To (DST),llama2_13B,2.0,France-Algeria,Single_Similar_To (SST),llama2_13B,-5.0,France-Algeria,Single_Similar_And (SSA),llama2_13B,0.0,France-Algeria,Dual_Similar_And (DSA),llama2_13B,5.0,France-Algeria,Single_Similar_Degree (SSD),llama2_13B,-5,France-Algeria,Dual_Similar_Degree (DSD),llama2_13B,2.0
336,U.S.A.-Mexico,Dual_Similar_To (DST),llama2_70B,-5.0,U.S.A.-Mexico,Single_Similar_To (SST),llama2_70B,0.0,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_70B,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),llama2_70B,0,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_70B,-5.0
337,U.S.S.R.-Poland,Dual_Similar_To (DST),llama2_70B,-5.0,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_70B,5.0,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_70B,-2.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama2_70B,5,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_70B,-3.0
338,China-Albania,Dual_Similar_To (DST),llama2_70B,-5.0,China-Albania,Single_Similar_To (SST),llama2_70B,0.0,China-Albania,Single_Similar_And (SSA),llama2_70B,0.0,China-Albania,Dual_Similar_And (DSA),llama2_70B,0.0,China-Albania,Single_Similar_Degree (SSD),llama2_70B,0,China-Albania,Dual_Similar_Degree (DSD),llama2_70B,-4.0
339,U.S.A.-Israel,Dual_Similar_To (DST),llama2_70B,-3.0,U.S.A.-Israel,Single_Similar_To (SST),llama2_70B,0.0,U.S.A.-Israel,Single_Similar_And (SSA),llama2_70B,0.0,U.S.A.-Israel,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-Israel,Single_Similar_Degree (SSD),llama2_70B,0,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_70B,-3.0
340,Japan-Philippines,Dual_Similar_To (DST),llama2_70B,-3.0,Japan-Philippines,Single_Similar_To (SST),llama2_70B,0.0,Japan-Philippines,Single_Similar_And (SSA),llama2_70B,0.0,Japan-Philippines,Dual_Similar_And (DSA),llama2_70B,0.0,Japan-Philippines,Single_Similar_Degree (SSD),llama2_70B,0,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_70B,-3.0
341,U.S.A.-Canada,Dual_Similar_To (DST),llama2_70B,-2.0,U.S.A.-Canada,Single_Similar_To (SST),llama2_70B,3.0,U.S.A.-Canada,Single_Similar_And (SSA),llama2_70B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-Canada,Single_Similar_Degree (SSD),llama2_70B,5,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_70B,-3.0
342,U.S.S.R.-Israel,Dual_Similar_To (DST),llama2_70B,-3.0,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_70B,7.0,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_70B,-2.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),llama2_70B,-4.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama2_70B,7,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_70B,-4.0
343,England-Ireland,Dual_Similar_To (DST),llama2_70B,-2.0,England-Ireland,Single_Similar_To (SST),llama2_70B,0.0,England-Ireland,Single_Similar_And (SSA),llama2_70B,2.0,England-Ireland,Dual_Similar_And (DSA),llama2_70B,0.0,England-Ireland,Single_Similar_Degree (SSD),llama2_70B,0,England-Ireland,Dual_Similar_Degree (DSD),llama2_70B,-2.0
344,Germany-Austria,Dual_Similar_To (DST),llama2_70B,0.0,Germany-Austria,Single_Similar_To (SST),llama2_70B,2.0,Germany-Austria,Single_Similar_And (SSA),llama2_70B,0.0,Germany-Austria,Dual_Similar_And (DSA),llama2_70B,0.0,Germany-Austria,Single_Similar_Degree (SSD),llama2_70B,0,Germany-Austria,Dual_Similar_Degree (DSD),llama2_70B,-2.0
345,U.S.S.R.-France,Dual_Similar_To (DST),llama2_70B,-4.0,U.S.S.R.-France,Single_Similar_To (SST),llama2_70B,5.0,U.S.S.R.-France,Single_Similar_And (SSA),llama2_70B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),llama2_70B,5,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_70B,-4.0
346,Belgium-Luxembourg,Dual_Similar_To (DST),llama2_70B,-2.0,Belgium-Luxembourg,Single_Similar_To (SST),llama2_70B,3.0,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_70B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),llama2_70B,0.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),llama2_70B,0,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_70B,-2.0
347,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),llama2_70B,-5.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_70B,-5.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_70B,0.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama2_70B,2,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_70B,-3.0
348,China-North Korea,Dual_Similar_To (DST),llama2_70B,-3.0,China-North Korea,Single_Similar_To (SST),llama2_70B,-7.0,China-North Korea,Single_Similar_And (SSA),llama2_70B,0.0,China-North Korea,Dual_Similar_And (DSA),llama2_70B,0.0,China-North Korea,Single_Similar_Degree (SSD),llama2_70B,0,China-North Korea,Dual_Similar_Degree (DSD),llama2_70B,-3.0
349,India-Sri Lanka,Dual_Similar_To (DST),llama2_70B,-2.0,India-Sri Lanka,Single_Similar_To (SST),llama2_70B,0.0,India-Sri Lanka,Single_Similar_And (SSA),llama2_70B,0.0,India-Sri Lanka,Dual_Similar_And (DSA),llama2_70B,0.0,India-Sri Lanka,Single_Similar_Degree (SSD),llama2_70B,0,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_70B,-3.0
350,U.S.A.-France,Dual_Similar_To (DST),llama2_70B,-3.0,U.S.A.-France,Single_Similar_To (SST),llama2_70B,-2.0,U.S.A.-France,Single_Similar_And (SSA),llama2_70B,0.0,U.S.A.-France,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-France,Single_Similar_Degree (SSD),llama2_70B,0,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_70B,-3.0
351,U.S.S.R.-Cuba,Dual_Similar_To (DST),llama2_70B,5.0,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_70B,0.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_70B,3.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama2_70B,0,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_70B,-3.0
352,England-Jordan,Dual_Similar_To (DST),llama2_70B,-4.0,England-Jordan,Single_Similar_To (SST),llama2_70B,-2.0,England-Jordan,Single_Similar_And (SSA),llama2_70B,0.0,England-Jordan,Dual_Similar_And (DSA),llama2_70B,0.0,England-Jordan,Single_Similar_Degree (SSD),llama2_70B,-2,England-Jordan,Dual_Similar_Degree (DSD),llama2_70B,-4.0
353,France-Israel,Dual_Similar_To (DST),llama2_70B,-4.0,France-Israel,Single_Similar_To (SST),llama2_70B,-2.0,France-Israel,Single_Similar_And (SSA),llama2_70B,-2.0,France-Israel,Dual_Similar_And (DSA),llama2_70B,0.0,France-Israel,Single_Similar_Degree (SSD),llama2_70B,0,France-Israel,Dual_Similar_Degree (DSD),llama2_70B,-4.0
354,U.S.A.-Germany,Dual_Similar_To (DST),llama2_70B,-3.0,U.S.A.-Germany,Single_Similar_To (SST),llama2_70B,0.0,U.S.A.-Germany,Single_Similar_And (SSA),llama2_70B,-2.0,U.S.A.-Germany,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),llama2_70B,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_70B,-3.0
355,U.S.S.R.-Syria,Dual_Similar_To (DST),llama2_70B,-3.0,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_70B,0.0,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_70B,7.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),llama2_70B,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama2_70B,0,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_70B,-3.0
356,France-Algeria,Dual_Similar_To (DST),llama2_70B,-5.0,France-Algeria,Single_Similar_To (SST),llama2_70B,0.0,France-Algeria,Single_Similar_And (SSA),llama2_70B,0.0,France-Algeria,Dual_Similar_And (DSA),llama2_70B,0.0,France-Algeria,Single_Similar_Degree (SSD),llama2_70B,0,France-Algeria,Dual_Similar_Degree (DSD),llama2_70B,-5.0
420,U.S.A.-Mexico,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-Mexico,Single_Similar_To (SST),llama3_70B,-2.0,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_70B,-2.0,U.S.A.-Mexico,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),llama3_70B,-2,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_70B,0.0
421,U.S.S.R.-Poland,Dual_Similar_To (DST),llama3_70B,0.0,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_70B,8.0,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_70B,8.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama3_70B,2,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_70B,0.0
422,China-Albania,Dual_Similar_To (DST),llama3_70B,0.0,China-Albania,Single_Similar_To (SST),llama3_70B,2.0,China-Albania,Single_Similar_And (SSA),llama3_70B,0.0,China-Albania,Dual_Similar_And (DSA),llama3_70B,0.0,China-Albania,Single_Similar_Degree (SSD),llama3_70B,0,China-Albania,Dual_Similar_Degree (DSD),llama3_70B,0.0
423,U.S.A.-Israel,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-Israel,Single_Similar_To (SST),llama3_70B,0.0,U.S.A.-Israel,Single_Similar_And (SSA),llama3_70B,-2.0,U.S.A.-Israel,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-Israel,Single_Similar_Degree (SSD),llama3_70B,-2,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_70B,0.0
424,Japan-Philippines,Dual_Similar_To (DST),llama3_70B,0.0,Japan-Philippines,Single_Similar_To (SST),llama3_70B,0.0,Japan-Philippines,Single_Similar_And (SSA),llama3_70B,0.0,Japan-Philippines,Dual_Similar_And (DSA),llama3_70B,0.0,Japan-Philippines,Single_Similar_Degree (SSD),llama3_70B,0,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_70B,0.0
425,U.S.A.-Canada,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-Canada,Single_Similar_To (SST),llama3_70B,-2.0,U.S.A.-Canada,Single_Similar_And (SSA),llama3_70B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-Canada,Single_Similar_Degree (SSD),llama3_70B,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_70B,0.0
426,U.S.S.R.-Israel,Dual_Similar_To (DST),llama3_70B,0.0,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_70B,-2.0,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_70B,-2.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama3_70B,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_70B,0.0
427,England-Ireland,Dual_Similar_To (DST),llama3_70B,0.0,England-Ireland,Single_Similar_To (SST),llama3_70B,2.0,England-Ireland,Single_Similar_And (SSA),llama3_70B,0.0,England-Ireland,Dual_Similar_And (DSA),llama3_70B,0.0,England-Ireland,Single_Similar_Degree (SSD),llama3_70B,0,England-Ireland,Dual_Similar_Degree (DSD),llama3_70B,0.0
428,Germany-Austria,Dual_Similar_To (DST),llama3_70B,0.0,Germany-Austria,Single_Similar_To (SST),llama3_70B,0.0,Germany-Austria,Single_Similar_And (SSA),llama3_70B,0.0,Germany-Austria,Dual_Similar_And (DSA),llama3_70B,0.0,Germany-Austria,Single_Similar_Degree (SSD),llama3_70B,0,Germany-Austria,Dual_Similar_Degree (DSD),llama3_70B,0.0
429,U.S.S.R.-France,Dual_Similar_To (DST),llama3_70B,0.0,U.S.S.R.-France,Single_Similar_To (SST),llama3_70B,0.0,U.S.S.R.-France,Single_Similar_And (SSA),llama3_70B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),llama3_70B,2,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_70B,0.0
430,Belgium-Luxembourg,Dual_Similar_To (DST),llama3_70B,0.0,Belgium-Luxembourg,Single_Similar_To (SST),llama3_70B,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_70B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),llama3_70B,0.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),llama3_70B,1,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_70B,0.0
431,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_70B,-2.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_70B,-2.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama3_70B,0,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_70B,0.0
432,China-North Korea,Dual_Similar_To (DST),llama3_70B,0.0,China-North Korea,Single_Similar_To (SST),llama3_70B,0.0,China-North Korea,Single_Similar_And (SSA),llama3_70B,0.0,China-North Korea,Dual_Similar_And (DSA),llama3_70B,0.0,China-North Korea,Single_Similar_Degree (SSD),llama3_70B,0,China-North Korea,Dual_Similar_Degree (DSD),llama3_70B,0.0
433,India-Sri Lanka,Dual_Similar_To (DST),llama3_70B,0.0,India-Sri Lanka,Single_Similar_To (SST),llama3_70B,0.0,India-Sri Lanka,Single_Similar_And (SSA),llama3_70B,2.0,India-Sri Lanka,Dual_Similar_And (DSA),llama3_70B,0.0,India-Sri Lanka,Single_Similar_Degree (SSD),llama3_70B,0,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_70B,0.0
434,U.S.A.-France,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-France,Single_Similar_To (SST),llama3_70B,0.0,U.S.A.-France,Single_Similar_And (SSA),llama3_70B,0.0,U.S.A.-France,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-France,Single_Similar_Degree (SSD),llama3_70B,0,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_70B,0.0
435,U.S.S.R.-Cuba,Dual_Similar_To (DST),llama3_70B,0.0,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_70B,10.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_70B,12.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama3_70B,2,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_70B,0.0
436,England-Jordan,Dual_Similar_To (DST),llama3_70B,0.0,England-Jordan,Single_Similar_To (SST),llama3_70B,-2.0,England-Jordan,Single_Similar_And (SSA),llama3_70B,0.0,England-Jordan,Dual_Similar_And (DSA),llama3_70B,0.0,England-Jordan,Single_Similar_Degree (SSD),llama3_70B,-2,England-Jordan,Dual_Similar_Degree (DSD),llama3_70B,0.0
437,France-Israel,Dual_Similar_To (DST),llama3_70B,0.0,France-Israel,Single_Similar_To (SST),llama3_70B,-2.0,France-Israel,Single_Similar_And (SSA),llama3_70B,-6.0,France-Israel,Dual_Similar_And (DSA),llama3_70B,0.0,France-Israel,Single_Similar_Degree (SSD),llama3_70B,-6,France-Israel,Dual_Similar_Degree (DSD),llama3_70B,0.0
438,U.S.A.-Germany,Dual_Similar_To (DST),llama3_70B,0.0,U.S.A.-Germany,Single_Similar_To (SST),llama3_70B,0.0,U.S.A.-Germany,Single_Similar_And (SSA),llama3_70B,-2.0,U.S.A.-Germany,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),llama3_70B,-2,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_70B,0.0
439,U.S.S.R.-Syria,Dual_Similar_To (DST),llama3_70B,0.0,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_70B,-2.0,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_70B,2.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),llama3_70B,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama3_70B,-2,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_70B,0.0
440,France-Algeria,Dual_Similar_To (DST),llama3_70B,0.0,France-Algeria,Single_Similar_To (SST),llama3_70B,0.0,France-Algeria,Single_Similar_And (SSA),llama3_70B,-2.0,France-Algeria,Dual_Similar_And (DSA),llama3_70B,0.0,France-Algeria,Single_Similar_Degree (SSD),llama3_70B,0,France-Algeria,Dual_Similar_Degree (DSD),llama3_70B,0.0
504,U.S.A.-Mexico,Dual_Similar_To (DST),gpt-3.5-turbo,,U.S.A.-Mexico,Single_Similar_To (SST),gpt-3.5-turbo,-5.0,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),gpt-3.5-turbo,-5,U.S.A.-Mexico,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
505,U.S.S.R.-Poland,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.S.R.-Poland,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-3.5-turbo,5.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),gpt-3.5-turbo,5,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
506,China-Albania,Dual_Similar_To (DST),gpt-3.5-turbo,,China-Albania,Single_Similar_To (SST),gpt-3.5-turbo,0.0,China-Albania,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,China-Albania,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,China-Albania,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,China-Albania,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
507,U.S.A.-Israel,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.A.-Israel,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.A.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.A.-Israel,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-Israel,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,U.S.A.-Israel,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
